ons_id,name,turnout,registered_voters,turnout_change,total_votes,win_margin,1st_place_party,1st_place_candidate,1st_place_votes,2nd_place_party,2nd_place_candidate,2nd_place_votes,3rd_place_party,3rd_place_candidate,3rd_place_votes,4th_place_party,4th_place_candidate,4th_place_votes,5th_place_party,5th_place_candidate,5th_place_votes,6th_place_party,6th_place_candidate,6th_place_votes,7th_place_party,7th_place_candidate,7th_place_votes,8th_place_party,8th_place_candidate,8th_place_votes,9th_place_party,9th_place_candidate,9th_place_votes,10th_place_party,10th_place_candidate,10th_place_votes,11th_place_party,11th_place_candidate,11th_place_votes,12th_place_party,12th_place_candidate,12th_place_votes,13th_place_party,13th_place_candidate,13th_place_votes
E14001484,South Devon,69.0,70755,-6.3,48879,7127,Liberal Democrat,Caroline Voaden,22540,Conservative,Anthony Mangnall,15413,Reform UK,Michael Bagley,6363,Labour,Daniel Steel,3066,Green,Robert Bagnall,1497,Heritage Party,Becca Collings,125.0,,,,,,,,,,,,,,,,,,,,,
E14001485,South Dorset,65.0,75924,-4.2,48608,1048,Labour,Lloyd Hatton,15659,Conservative,Richard Drax,14611,Reform UK,Morgan Young,8168,Liberal Democrat,Matt Bell,8017,Green,Catherine Bennett,2153,Independent,Joy Wilson,192.0,Independent,Giovanna Lewis,185.0,Independent,Rosie Morrell,52.0,,,,,,,,,,,,,,,
N05000015,South Down,59.0,76248,-3.4,42545,9280,Sinn Fein,Chris Hazzard,19698,Social Democratic & Labour Party,Colin McGrath,10418,Democratic Unionist Party,Diane Forsythe,7349,Alliance Party,Andrew McMurray,3187,Traditional Unionist Voice,Jim Wells,1893,Ulster Unionist Party ,Michael O'Loan,1411.0,Aontú,Rosemary McGlone,797.0,Green,Declan Walsh,444.0,Conservative,Hannah Westropp,46.0,,,,,,,,,,,,
E14001486,South East Cornwall,68.0,72728,-5.0,49023,1911,Labour,Anna Gelderd,15670,Conservative,Sheryll Murray,13759,Reform UK,Paul Wadley,9311,Liberal Democrat,Colin Martin,8284,Green,Martin Corney,1999,Heritage Party,Graham Cowdry,263.0,,,,,,,,,,,,,,,,,,,,,
E14001487,South Holland and the Deepings,59.0,78473,-6.1,44130,6856,Conservative,John Hayes,17462,Reform UK,Matt Swainson,10606,Labour,Paul Hilliar,9086,Independent,Mark Le Sage,5031,Liberal Democrat,Jack Braginton,1945,Green,Rhys Baker,1800.0,,,,,,,,,,,,,,,,,,,,,
E14001488,South Leicestershire,65.0,78543,-7.0,51359,5506,Conservative,Alberto Costa,18264,Labour,Robert Parkinson,12758,Reform UK,Bill Piper,10235,Liberal Democrat,Paul Hartshorn,7621,Green,Mike Jelfs,2481,,,,,,,,,,,,,,,,,,,,,,,,
E14001489,South Norfolk,67.0,74135,-7.4,49196,2826,Labour,Ben Goldsborough,17353,Conservative,Poppy Simister-Thomas,14527,Reform UK,Chris Harrison,7583,Liberal Democrat,Chris Brown,5746,Green,Catherine Rowett,3987,Independent,Paco Davila,254.0,Social Democratic Party,Jason Maguire,129.0,,,,,,,,,,,,,,,,,,
E14001490,South Northamptonshire,69.0,78233,-4.3,51686,3687,Conservative,Sarah Bool,19191,Labour,Rufia Ashraf,15504,Reform UK,Paul Hogan,8962,Liberal Democrat,Stewart Tolley,4989,Green,Emmie Williamson,3040,Independent,Ian McCord,1556.0,Workers Party of Britain,Mick Stott,246.0,Independent,Stuart Robert,209.0,,,,,,,,,,,,,,,
E14001491,South Ribble,64.0,73420,-4.7,46720,6501,Labour,Paul Foster,19840,Conservative,Katherine Fletcher,13339,Reform UK,Andy Hunter,8995,Liberal Democrat,Ange Turner,2972,Green,Stephani Mok,1574,,,,,,,,,,,,,,,,,,,,,,,,
E14001492,South Shields,54.0,68366,-11.8,35422,6653,Labour,Emma Lewell-Buck,15122,Reform UK,Stephen Holt,8469,Green,David Francis,5433,Conservative,Craig Robinson,4128,Independent,Ahmed Khan,2270,Liberal Democrat,Jonathan Aibi,1402.0,,,,,,,,,,,,,,,,,,,,,
E14001493,South Shropshire,67.0,76723,-7.6,51653,1624,Conservative,Stuart Anderson,17628,Liberal Democrat,Matthew Green,16004,Reform UK,Charles Shackerley-Bennett,9171,Labour,Simon Thomson,6939,Green,Hilary Wendt,1911,,,,,,,,,,,,,,,,,,,,,,,,
E14001494,South Suffolk,67.0,73385,-4.0,48801,3047,Conservative,James Cartlidge,16082,Labour,Emma Bishton,13035,Reform UK,Beverley England,9252,Liberal Democrat,Tom Bartleet,6424,Green,Jessie Carter,4008,,,,,,,,,,,,,,,,,,,,,,,,
E14001495,South West Devon,67.0,77600,-7.1,51557,2112,Conservative,Rebecca Smith,17916,Labour,Sarah Allen,15804,Reform UK,Steve Horner,9361,Liberal Democrat,Julian Brazil,5551,Green,Lauren McLay,2925,Independent,Alan Spencer,438.0,Trade Unionist and Socialist Coalition,Ben Davy,141.0,Heritage Party,Darryl Ingram,106.0,,,,,,,,,,,,,,,
E14001496,South West Hertfordshire,68.0,71353,-3.5,47419,4456,Conservative,Gagan Mohindra,16458,Liberal Democrat,Sally Symington,12002,Labour,Alex Sufit,9637,Reform UK,Keith Steers,6790,Green,Narinder Sian,2532,Party of Women,Bernadette O'Malley,295.0,Rejoin EU,Victor Silkin,232.0,Social Democratic Party,Michael McGetrick,158.0,UK Voice,Ketankumar Pipaliya,150.0,,,,,,,,,,,,
E14001497,South West Norfolk,59.0,74724,-7.0,41922,630,Labour,Terry Jermy,11847,Conservative,Liz Truss,11217,Reform UK,Toby McKenzie,9958,Independent,James Bagge,6282,Liberal Democrat,Josie Ratcliffe,2618,Green,Pallavi Devulapalli,1838.0,Monster Raving Loony Party,Earl Elvis Of East Anglia,338.0,Heritage Party,Gary Conway,160.0,Communist Party of Britain,Lorraine Douglas,77.0,,,,,,,,,,,,
E14001498,South West Wiltshire,65.0,71574,-1.5,45279,3243,Conservative,Andrew Murrison,15617,Labour,Evelyn Akoto,12374,Reform UK,Garry Irvin,7840,Liberal Democrat,Bret Palmer,7205,Green,Fay Whitfield,2243,Independent,James Ward,448.0,Independent,Thomas Culshaw,441.0,,,,,,,,,,,,,,,,,,
E14001499,Southampton Itchen,56.0,68379,-10.0,37789,6105,Labour,Darren Paffey,15782,Conservative,Sidney Yankson,9677,Reform UK,Alex Culley,6853,Green,Neil Kelly,2793,Liberal Democrat,James Batho,2684,Trade Unionist and Socialist Coalition,Declan Clune,264.0,,,,,,,,,,,,,,,,,,,,,
E14001500,Southampton Test,55.0,65520,-9.7,34664,9333,Labour,Satvir Kaur,15945,Conservative,Ben Burcombe-Filer,6612,Reform UK,John Edwards,5261,Green,Katherine Barbour,3594,Liberal Democrat,Thomas Gravatt,3252,Workers Party of Britain,Wajahat Shaukat,775.0,Trade Unionist and Socialist Coalition,Maggie Fricker,366.0,,,,,,,,,,,,,,,,,,
E14001501,Southend East and Rochford,57.0,70217,-5.1,38962,4027,Labour,Bayo Alaba,15395,Conservative,Gavin Haran,11368,Reform UK,Leslie Lilley,7214,Green,Simon Cross,2716,Liberal Democrat,James Allen,2269,Confelicity,Lee Clark,488.0,Heritage Party,Bianca Isherwood,206.0,,,,,,,,,,,,,,,,,,
E14001502,Southend West and Leigh,63.0,75154,-4.4,46238,1949,Labour,David Burton-Sampson,16739,Conservative,Anna Firth,14790,Reform UK,Peter Little,8273,Green,Tilly Hogrebe,3262,Liberal Democrat,Stephen Cummins,3174,Confelicity,James Miller,262.0,Independent,Tom Darwood,172.0,Heritage Party,Lara Hurley,99.0,Psychedelic Movement,Jason Pilley,99.0,Independent,Robert Francis,98.0,,,,,,,,,
E14001503,Southgate and Wood Green,59.0,77542,-10.4,44053,15300,Labour,Bambos Charalambous,23337,Conservative,Eric Sukumaran,8037,Green,Charith Gunawardena,5607,Liberal Democrat,Lauren Fulbright,3925,Reform UK,Lucy O'Sullivan,3147,Workers Party of Britain,Geoff Moseley,833.0,Trade Unionist and Socialist Coalition,Karl Vidol,785.0,,,,,,,,,,,,,,,,,,
E14001504,Southport,61.0,73641,-6.0,44137,5789,Labour,Patrick Hurley,17252,Conservative,Damien Moore,11463,Reform UK,Andrew Lynn,7395,Liberal Democrat,Erin Harvey,5868,Green,Edwin Black,2159,Independent,Sean Halsall,922.0,,,,,,,,,,,,,,,,,,,,,
E14001505,Spelthorne,63.0,73782,-5.3,45893,1590,Conservative,Lincoln Jopp,14038,Labour,Claire Tighe,12448,Liberal Democrat,Harry Boparai,8710,Reform UK,Rory O'Brien,8284,Green,Manu Singh,2413,Social Democratic Party,Alistair Miller,273.0,,,,,,,,,,,,,,,,,,,,,
E14001506,Spen Valley,57.0,72642,-8.9,39633,6188,Labour,Kim Leadbeater,16076,Reform UK,Sarah Wood,9888,Conservative,Laura Evans,9859,Green,Martin Price,2284,Independent,Javed Bashir,1526,Liberal Democrat,Alison Brelsford,1425.0,,,,,,,,,,,,,,,,,,,,,
E14001507,St Albans,71.0,72739,-7.0,51407,19834,Liberal Democrat,Daisy Cooper,29222,Conservative,James Spencer,9388,Labour,Sophia Adams Bhatti,5189,Reform UK,John Dowdle,4336,Green,Simon Grover,3272,Heritage Party,Dafydd Morriss,104.0,Social Democratic Party,Stewart Satterly,103.0,,,,,,,,,,,,,,,,,,
E14001508,St Austell and Newquay,61.0,76140,-12.5,45800,2470,Labour,Noah Law,15958,Conservative,Steve Double,13488,Reform UK,Stephen Beal,9212,Liberal Democrat,Joanna Kenny,4805,Green,Amanda Pennington,2337,Liberal Party,Jay Latham,490.0,Independent,Angie Rayner,442.0,,,,,,,,,,,,,,,,,,
E14001509,St Helens North,54.0,75483,-8.9,40200,12169,Labour,David Baines,21284,Reform UK,Malcolm Webster,9115,Conservative,Jayne Rear,4507,Green,Daniel Thomas,3495,Liberal Democrat,Pat Moloney,1799,English Constitution Party,Joe Greenhalgh,274.0,,,,,,,,,,,,,,,,,,,,,
E14001510,St Helens South and Whiston,53.0,71569,-10.9,35836,11945,Labour,Marie Rimmer,18919,Reform UK,Raymond Peters,6974,Independent,James Tasker,4244,Conservative,Emma Ellison,3057,Green,Terence Price,2642,Liberal Democrat,Brian Spencer,2199.0,,,,,,,,,,,,,,,,,,,,,
E14001511,St Ives,69.0,69980,-8.2,47357,13786,Liberal Democrat,Andrew George,25033,Conservative,Derek Thomas,11247,Reform UK,Giane Mortimer,6492,Labour,Filson Ali,2788,Green,Ian Flindall,1797,Independent,Dave Laity,360.0,Liberal Party,Paul Nicholson,187.0,UK Independence Party,Jason Saunders,111.0,The Common People,John Harris,91.0,,,,,,,,,,,,
E14001512,St Neots and Mid Cambridgeshire,68.0,78115,0.7,49945,4621,Liberal Democrat,Ian Sollom,19517,Conservative,Anthony Browne,14896,Labour,Marianna Masters,6918,Reform UK,Guy Lachlan,5673,Independent,Stephen Ferguson,2941,Green,Kathryn Fisher,2663.0,Party of Women,Bev White,274.0,,,,,,,,,,,,,,,,,,
E14001513,Stafford,65.0,70608,-7.5,45611,4595,Labour,Leigh Ingham,18531,Conservative,Theo Clarke,13936,Reform UK,Michael Riley,8612,Green,Scott Spencer,2856,Liberal Democrat,Peter Andras,1676,Monster Raving Loony Party,Titus Anything,307.0,Heritage Party,Craig Morton,91.0,,,,,,,,,,,,,,,,,,
