ons_id,name,turnout,registered_voters,turnout_change,total_votes,win_margin,1st_place_party,1st_place_candidate,1st_place_votes,2nd_place_party,2nd_place_candidate,2nd_place_votes,3rd_place_party,3rd_place_candidate,3rd_place_votes,4th_place_party,4th_place_candidate,4th_place_votes,5th_place_party,5th_place_candidate,5th_place_votes,6th_place_party,6th_place_candidate,6th_place_votes,7th_place_party,7th_place_candidate,7th_place_votes,8th_place_party,8th_place_candidate,8th_place_votes,9th_place_party,9th_place_candidate,9th_place_votes,10th_place_party,10th_place_candidate,10th_place_votes,11th_place_party,11th_place_candidate,11th_place_votes,12th_place_party,12th_place_candidate,12th_place_votes,13th_place_party,13th_place_candidate,13th_place_votes
W07000081,Aberafan Maesteg,49.0,72580,-14.3,34038,10354,Labour,Stephen Kinnock,17838,Reform UK,Mark Griffiths,7484,Plaid Cymru,Colin Deere,4719,Conservative,Abigail Mainon,2903,Green,Nigel Hill,1094,Liberal Democrat,Justin Griffiths,916.0,Independent,Captain Beany,618.0,Heritage Party,Rhiannon Morrissey,183.0,,,,,,,,,,,,,,,
S14000060,Aberdeen North,55.0,75925,-9.8,39551,1760,Scottish National Party,Kirsty Blackman,14533,Labour,Lynn Thomson,12773,Conservative,Gillian Tebberen,5881,Reform UK,Kenneth Leggat,3781,Liberal Democrat,Desmond Bouse,2583,Green,Esme Houston,1275.0,Alba,Charlie Abel,703.0,Scottish Family Party,Dawn Smith,352.0,Trade Unionist and Socialist Coalition,Lucas Grant,214.0,,,,,,,,,,,,
S14000061,Aberdeen South,60.0,77328,-5.6,44088,3758,Scottish National Party,Stephen Flynn,15213,Labour,M. Tauqeer Malik,11455,Conservative,John Wheeler,11300,Reform UK,Michael Pearce,3199,Liberal Democrat,Jeff Goodhall,2921,Green,Guy Ingerson,1609.0,Scottish Family Party,Graeme Craib,423.0,Independent,Sophie Molly,225.0,,,,,,,,,,,,,,,
S14000062,Aberdeenshire North and Moray East,55.0,70058,-9.7,38188,942,Scottish National Party,Seamus Logan,13455,Conservative,Douglas Ross,12513,Reform UK,Jo Hart,5562,Labour,Andy Brown,3876,Liberal Democrat,Ian Bailey,2782,,,,,,,,,,,,,,,,,,,,,,,,
S14000063,Airdrie and Shotts,52.0,70199,-13.6,35587,7547,Labour,Kenneth Stevenson,18871,Scottish National Party,Anum Qaisar,11324,Reform UK,David Hall,2971,Conservative,Alexandra Herdman,1696,Liberal Democrat,Lewis Younie,725,Alba,Josh Robertson,623.0,British Unionist Party,John Jo Leckie,456.0,,,,,,,,,,,,,,,,,,
E14001063,Aldershot,62.0,78569,-5.7,48262,5683,Labour,Alex Baker,19764,Conservative,Leo Docherty,14081,Reform UK,Trevor Lloyd-Jones,8210,Liberal Democrat,Paul Harris,4052,Green,Ed Neville,2155,Hampshire Independents,Steve James-Bailey,282.0,,,,,,,,,,,,,,,,,,,,,
E14001064,Aldridge-Brownhills,58.0,70871,-7.0,40912,4294,Conservative,Wendy Morton,15901,Labour,Luke Davies,11607,Reform UK,Graham Eardley,9903,Liberal Democrat,Ian Garrett,1755,Green,Clare Nash,1746,,,,,,,,,,,,,,,,,,,,,,,,
S14000064,Alloa and Grangemouth,58.0,70680,-4.9,38308,6122,Labour,Brian Leishman,18039,Scottish National Party,John Nicolson,11917,Reform UK,Richard Fairley,3804,Conservative,Rachel Nunn,3127,Green,Nariese Whyte,1421,Liberal Democrat,Adrian May,1151.0,Independent,Eva Comrie,881.0,Alba,Kenny MacAskill,638.0,Workers Party of Britain,Tom Flanagan,223.0,,,,,,,,,,,,
E14001065,Altrincham and Sale West,70.0,74026,-4.6,50809,4174,Labour,Connor Rand,20798,Conservative,Oliver Carroll,16624,Reform UK,Paul Swansborough,4961,Liberal Democrat,Jane Brophy,4727,Green,Geraldine Coggins,3699,Workers Party of Britain,Faisal Kabir,643.0,,,,,,,,,,,,,,,,,,,,,
W07000082,Alyn and Deeside,57.0,75790,-11.9,39891,8794,Labour,Mark Tami,18395,Reform UK,Vicki Roskams,9601,Conservative,Jeremy Kent,7892,Liberal Democrat,Richard Marbrow,2065,Plaid Cymru,Jack Morris,1938,Green,Karl Macnaughton,1926.0,Independent,Edwin Duggan,1575.0,,,,,,,,,,,,,,,,,,
E14001066,Amber Valley,59.0,71546,-5.2,42531,3554,Labour,Linsey Farnsworth,15746,Reform UK,Alex Stevenson,12192,Conservative,Nigel Mills,10725,Green,Matt McGuinness,2278,Liberal Democrat,Kate Smith,1590,,,,,,,,,,,,,,,,,,,,,,,,
S14000065,Angus and Perthshire Glens,62.0,76668,-11.6,46615,4870,Scottish National Party,Dave Doogan,19142,Conservative,Stephen Kerr,14272,Labour,Elizabeth Carr-Ellis,6799,Reform UK,Kenneth Morton,3246,Liberal Democrat,Claire McLaren,3156,Independent,Dan Pena,733.0,,,,,,,,,,,,,,,,,,,,,
S14000066,Arbroath and Broughty Ferry,58.0,76149,-10.0,43193,859,Scottish National Party,Stephen Gethins,15581,Labour,Cheryl-Ann Cruickshank,14722,Conservative,Richard Brooks,6841,Reform UK,Gwen Wood,3800,Liberal Democrat,David Evans,2249,Alba,Ghazi Khan,693.0,Sovereignty,Moira Brown,231.0,,,,,,,,,,,,,,,,,,
S14000067,"Argyll, Bute and South Lochaber",63.0,71756,-8.2,43921,6232,Scottish National Party,Brendan O'Hara,15582,Conservative,Amanda Hampsey,9350,Labour,Hamish Maxwell,8585,Liberal Democrat,Alan Reid,7359,Reform UK,Melanie Hurst,3045,Independent,Tommy Macpherson,941.0,,,,,,,,,,,,,,,,,,,,,
E14001067,Arundel and South Downs,70.0,77969,-5.3,54556,12134,Conservative,Andrew Griffith,22001,Liberal Democrat,Richard Allen,9867,Labour,Chris Philipsborn,9782,Reform UK,David Thomas,7391,Green,Steve McAuliffe,5515,Social Democratic Party,Mike Smith,184.0,,,,,,,,,,,,,,,,,,,,,
E14001068,Ashfield,58.0,68929,-3.6,39263,5508,Reform UK,Lee Anderson,17062,Labour,Rhea Keehn,11554,Ashfield Independents,Jason Zadrozny,6276,Conservative,Debbie Soloman,3271,Green,Alexander Coates,1100,Liberal Democrat,Daniel Holmes,619.0,,,,,,,,,,,,,,,,,,,,,
E14001069,Ashford,62.0,76212,-4.5,45686,1779,Labour,Sojan Joseph,15262,Conservative,Damian Green,13483,Reform UK,Tristram Kennedy Harper,10141,Green,Mandy Rossi,4355,Liberal Democrat,Adam Rowledge,2445,Consensus,James Ransley,1289.0,,,,,,,,,,,,,,,,,,,,,
E14001070,Ashton-under-Lyne,50.0,71002,-7.3,34050,6791,Labour,Angela Rayner,15575,Reform UK,Robert Barrowcliffe,8784,Conservative,Lizzie Hacking,4375,Workers Party of Britain,Aroma Hassan,2835,Green,Lee Huntbach,2481,Liberal Democrat,Dominic Hardwick,1411.0,,,,,,,,,,,,,,,,,,,,,
E14001071,Aylesbury,63.0,79169,-13.4,49308,630,Labour,Laura Kyrke-Smith,15081,Conservative,Rob Butler,14451,Liberal Democrat,Steve Lambert,10440,Reform UK,Lesley Taylor,6746,Green,Julie Atkins,2590,Workers Party of Britain,Jan Gajdos,516.0,Social Democratic Party,Richard Wilding,116.0,,,,,,,,,,,,,,,,,,
S14000006,"Ayr, Carrick and Cumnock",58.0,70340,-6.5,39578,4154,Labour,Elaine Stewart,14930,Scottish National Party,Allan Dorans,10776,Conservative,Martin Dowey,9247,Reform UK,Andrew Russell,3544,Liberal Democrat,Paul Kennedy,1081,Green,Korin Vallance,886.0,Alba,Corri Wilson,472.0,,,,,,,,,,,,,,,,,,
E14001072,Banbury,66.0,73193,-6.8,46931,3256,Labour,Sean Woodcock,18468,Conservative,Victoria Prentis,15212,Reform UK,Paul Topley,6284,Liberal Democrat,Liz Adams,4352,Green,Arron Baker,2615,Independent,Cassi Bellingham,850.0,Climate Party,Chris Nevile,242.0,Social Democratic Party,Declan Soper,155.0,,,,,,,,,,,,,,,
W07000083,Bangor Aberconwy,60.0,69023,-8.3,39771,4896,Labour,Claire Hughes,14008,Plaid Cymru,Catrin Wager,9112,Conservative,Robin Millar,9036,Reform UK,John Clark,6091,Liberal Democrat,Rachael Roberts,1524,Green,Petra Haig,1361.0,Socialist Labour Party,Kathrine Jones,424.0,Climate Party,Steve Marshall,104.0,,,,,,,,,,,,,,,
E14001073,Barking,46.0,79825,-11.4,34260,11054,Labour,Nesil Caliskan,16227,Reform UK,Clive Peacock,5173,Green,Simon Anthony,4988,Conservative,Julie Redmond,4294,Workers Party of Britain,Muhammad Asim,3578,Liberal Democrat,Charley Hasted,1015.0,Independent,Dee Dias,753.0,Christian Peoples Alliance,Lucy Baiye-Gaman,449.0,,,,,,,,,,,,,,,
E14001074,Barnsley North,47.0,78267,-10.8,35633,7811,Labour,Dan Jarvis,18610,Reform UK,Robert Lomas,10799,Conservative,Tamas Kovacs,3083,Green,Tom Heyes,1805,Liberal Democrat,Penny Baker,1336,Independent,Neil Fisher,616.0,The Yorkshire Party,Tony Devoy,603.0,English Democrats,Janus Polenceusz,42.0,,,,,,,,,,,,,,,
E14001075,Barnsley South,46.0,75850,-3.1,33990,4748,Labour,Stephanie Peacock,16399,Reform UK,David White,11651,Conservative,Suzanne Pearson,3247,Green,Trevor Mayne,1521,Liberal Democrat,Simon Clement-Jones,1172,The Yorkshire Party,Simon Biltcliffe,716.0,Socialist Labour Party,Terry Robinson,227.0,English Democrats,Maxine Spencer,149.0,,,,,,,,,,,,,,,
E14001076,Barrow and Furness,56.0,74980,-9.0,41931,5324,Labour,Michelle Scrogham,18537,Conservative,Simon Fell,13213,Reform UK,Barry Morgan,7035,Liberal Democrat,Adrian Waite,1680,Green,Lorraine Wrennall,1466,Party of Women,Lisa Morgan,290.0,,,,,,,,,,,,,,,,,,,,,
E14001077,Basildon and Billericay,55.0,76873,-6.1,41559,20,Conservative,Richard Holden,12905,Labour,Alex Harrison,12885,Reform UK,Stephen Conlay,11354,Liberal Democrat,Edward Sainsbury,2292,Green,Stewart Goshawk,2123,British Democratic Party,Christopher Bateman,373.0,Trade Unionist and Socialist Coalition,Dave Murray,192.0,,,,,,,,,,,,,,,,,,
E14001078,Basingstoke,62.0,78487,-4.0,48418,6484,Labour,Luke Murphy,20922,Conservative,Maria Miller,14438,Reform UK,Ray Saint,6314,Green,Michael Howard-Sorrell,3568,Liberal Democrat,Richard Whelan,3176,Hampshire Independents,Alan Stone,571.0,,,,,,,,,,,,,,,,,,,,,
E14001079,Bassetlaw,57.0,78173,-5.5,44878,5768,Labour,Jo White,18476,Conservative,Brendan Clarke-Smith,12708,Reform UK,Frank Ward,9751,Liberal Democrat,Helen Tamblyn-Saville,1996,Green,Rachel Reeves,1947,,,,,,,,,,,,,,,,,,,,,,,,
E14001080,Bath,69.0,69655,-8.6,45957,11218,Liberal Democrat,Wera Hobhouse,19883,Labour,Dan Bewley,8665,Conservative,James Wright,7659,Green,Dom Tristram,5952,Reform UK,Teresa Hall,3798,Independent,Colin Blackburn,1749.0,Workers Party of Britain,Matthew Alford,230.0,Independent,Bill Blockhead,169.0,Independent,A.N. ON,25.0,,,,,,,,,,,,
S14000068,Bathgate and Linlithgow,58.0,72185,-7.6,40064,8323,Labour,Kirsteen Sullivan,19774,Scottish National Party,Martyn Day,11451,Reform UK,Jamie McNamee,3524,Conservative,Lynn Munro,3144,Liberal Democrat,Sally Pattle,2171,Green,Simon Jay,1390.0,Independence for Scotland Party,John Hannah,382.0,Independent,Stuart McArthur,229.0,,,,,,,,,,,,,,,
E14001081,Battersea,65.0,72767,-11.6,45817,12039,Labour,Marsha de Cordova,22983,Conservative,Tom Pridham,10944,Liberal Democrat,Francis Chubb,4826,Green,Joe Taylor,4239,Reform UK,Barry Edwards,2825,Workers Party of Britain,Daniel Smith,499.0,Rejoin EU,Georgina Burford-Connole,401.0,Independent,Jake Thomas,216.0,Social Democratic Party,Ed Dampier,149.0,,,,,,,,,,,,
E14001082,Beaconsfield,66.0,72751,-7.2,46781,5455,Conservative,Joy Morrissey,18494,Liberal Democrat,Anna Crabtree,13039,Labour,Matt Patterson,7216,Reform UK,John Halsall,6055,Green,Dominick Pegram,1977,Independent,Pippa Allen,710.0,Social Democratic Party,Catherine Harker,131.0,Independent,Cole Caesar,104.0,,,,,,,,,,,,,,,
E14001083,Beckenham and Penge,68.0,77194,-10.8,52222,12905,Labour,Liam Conlon,25753,Conservative,Hannah Gray,12848,Reform UK,Edward Apostolides,5355,Liberal Democrat,Chloe-Jane Ross,4436,Green,Ruth Fabricant,3830,,,,,,,,,,,,,,,,,,,,,,,,
E14001084,Bedford,56.0,72478,-10.4,38221,9430,Labour,Mohammad Yasin,18342,Conservative,Pinder Chauhan,8912,Reform UK,Matt Lansley,4548,Liberal Democrat,Henry Vann,4025,Green,Ben Foley,2394,Independent,Tarek Javed,1442.0,Workers Party of Britain,Prince Sadiq Chaudhury,996.0,,,,,,,,,,,,,,,,,,
N05000001,Belfast East,59.0,72917,-5.8,41925,2676,Democratic Unionist Party,Gavin Robinson,19894,Alliance Party,Naomi Long,17218,Traditional Unionist Voice,John Ross,1918,Ulster Unionist Party ,Ryan Warren,1818,Green,Brian Smyth,1077,Social Democratic & Labour Party,Séamas de Faoite,619.0,Independent,Ryan North,162.0,,,,,,,,,,,,,,,,,,
N05000002,Belfast North,55.0,74240,-12.9,38300,5612,Sinn Fein,John Finucane,17674,Democratic Unionist Party,Phillip Brett,12062,Alliance Party,Nuala McAllister,4274,Traditional Unionist Voice,David Clarke,2877,Social Democratic & Labour Party,Carl Whyte,1413,Green,Mal O'Hara,1206.0,People Before Profit,Fiona Ferguson,946.0,,,,,,,,,,,,,,,,,,
N05000003,Belfast South and Mid Down,58.0,74749,-8.0,41914,12506,Social Democratic & Labour Party,Claire Hanna,21345,Alliance Party,Kate Nicholl,8839,Democratic Unionist Party,Tracy Kelly,6859,Ulster Unionist Party ,Michael Henderson,2653,Traditional Unionist Voice,Dan Boucher,2218,Green,Áine Groogan,1577.0,,,,,,,,,,,,,,,,,,,,,
N05000004,Belfast West,53.0,75346,-6.9,36689,15961,Sinn Fein,Paul Maskey,21009,People Before Profit,Gerry Carroll,5048,Social Democratic & Labour Party,Paul Doherty,4318,Democratic Unionist Party,Frank McCoubrey,4304,Traditional Unionist Voice,Ann McClure,2010,Alliance Party,Eóin Millar,1077.0,Aontú,Gerard Herdman,904.0,Ulster Unionist Party ,Ben Sharkey,461.0,Green,Ash Jones,451.0,Independent,Tony Mallon,161.0,,,,,,,,,
E14001085,Bermondsey and Old Southwark,54.0,69473,-10.9,36680,7787,Labour,Neil Coyle,16857,Liberal Democrat,Rachel Bentley,9070,Green,Susan Hunter,4477,Reform UK,Tony Sharp,3397,Conservative,Jonathan Iliff,2879,Independent,Piers Corbyn,403.0,Independent,Niko Omilana,273.0,Independent,Barry Duckett,247.0,,,,,,,,,,,,,,,
S14000008,"Berwickshire, Roxburgh and Selkirk",61.0,76438,-10.3,44482,6599,Conservative,John Lamont,18872,Scottish National Party,David Wilson,12273,Labour,Caitlin Stott,6311,Liberal Democrat,Ray Georgeson,3686,Reform UK,Carolyn Grant,3340,Green,Neil MacKinnon,1526.0,Independent,Ellie Merton,329.0,Scottish Family Party,Hamish Goldie-Scot,221.0,,,,,,,,,,,,,,,
E14001086,Bethnal Green and Stepney,57.0,81922,-8.0,43235,1689,Labour,Rushanara Ali,15896,Independent,Ajmal Masroor,14207,Green,Phoebe Gill,6391,Liberal Democrat,Rabina Khan,4777,Reform UK,Peter Sceats,1964,Conservative,Oscar Reaney,1920.0,Animal Welfare Party,Vanessa Hudson,348.0,Independent,Sham Uddin,325.0,Independent,Md Somon Ahmed,315.0,Independent,Reggie Adams,271.0,Social Democratic Party,Jon Mabbutt,233.0,,,,,,
E14001087,Beverley and Holderness,64.0,70559,-6.0,44109,124,Conservative,Graham Stuart,15501,Labour,Margaret Pinder,15377,Reform UK,Andy Smith,8198,Liberal Democrat,Denis Healy,3386,Green,Jonathan Stephenson,1647,The Yorkshire Party,George McManus,625.0,Social Democratic Party,Chris Collin,89.0,Alliance for Democracy and Freedom,John Ottaway,74.0,,,,,,,,,,,,,,,
E14001088,Bexhill and Battle,66.0,72209,-4.1,44089,2657,Conservative,Kieran Mullan,16186,Labour,Christine Bayliss,13529,Reform UK,Ian Gribbin,7929,Liberal Democrat,Becky Jones,3473,Green,Jonathan Kent,2972,Independent,Abul Azad,2206.0,Independent,Jeff Newnham,769.0,Party of Women,Julia Long,332.0,Independent Network ,Nigel Jacklin,210.0,UK Independence Party,Colin Sullivan,144.0,,,,,,,,,
E14001089,Bexleyheath and Crayford,63.0,69470,-5.0,43461,2114,Labour,Daniel Francis,15717,Conservative,Mark Brooks,13603,Reform UK,Tom Bright,9861,Liberal Democrat,David McBride,2204,Green,George Edgar,2076,,,,,,,,,,,,,,,,,,,,,,,,
E14001090,Bicester and Woodstock,68.0,74350,-6.4,49928,4958,Liberal Democrat,Calum Miller,19419,Conservative,Rupert Harrison,14461,Labour,Veronica Oakeshott,8236,Reform UK,Augustine Obodo,5408,Green,Ian Middleton,2404,Social Democratic Party,Tim Funnell,291.0,,,,,,,,,,,,,,,,,,,,,
E14001091,Birkenhead,55.0,78091,-12.7,42810,13798,Labour,Alison McGovern,22468,Green,Jo Bird,8670,Reform UK,Tony Stanley,6142,Conservative,Sarah Payne,3238,Liberal Democrat,Stuart Kelly,2292,Freedom Alliance,Catherine Evans,324.0,,,,,,,,,,,,,,,,,,,,,
E14001092,Birmingham Edgbaston,52.0,71787,-11.8,35326,8368,Labour,Preet Gill,16599,Conservative,Ashvir Sangha,8231,Reform UK,Joshua Matthews,4363,Independent,Ammar Waraich,3336,Green,Nicola Payne,2797,Liberal Democrat,Colin Green,2102.0,,,,,,,,,,,,,,,,,,,,,
E14001093,Birmingham Erdington,44.0,77463,-10.4,32633,7019,Labour,Paulette Hamilton,14774,Reform UK,Jack Brookes,7755,Conservative,Steve Knee,5402,Green,Karen Trench,2452,Independent,Shaukat Ali,2250,Liberal Democrat,Farzana Aslam,1128.0,Trade Unionist and Socialist Coalition,Corinthia Ward,37.0,,,,,,,,,,,,,,,,,,
E14001094,Birmingham Hall Green and Moseley,54.0,76936,-14.2,34723,5656,Labour,Tahir Ali,12798,Independent,Shakeel Afsar,7142,Independent,Mohammad Hafeez,6159,Liberal Democrat,Izzy Knowles,4711,Green,Zain Ahmed,3913,Conservative,Henry Morris,3845.0,Reform UK,Stephen McBrine,2305.0,Independent,Babar Raja,733.0,,,,,,,,,,,,,,,
E14001095,Birmingham Hodge Hill and Solihull North,44.0,77737,-9.8,33194,1566,Labour,Liam Byrne,10655,Workers Party of Britain,James Giles,9089,Reform UK,Jamie Pullin,6456,Conservative,Caroline Clapper,4634,Green,Imran Khan,2360,Liberal Democrat,Qasim Esak,942.0,,,,,,,,,,,,,,,,,,,,,
E14001096,Birmingham Ladywood,44.0,83693,-14.5,35102,3421,Labour,Shabana Mahmood,15558,Independent,Akhmed Yakoob,12137,Green,Zoe Challenor,3478,Conservative,Shaz Muzammil,2218,Liberal Democrat,Lee Dargue,1711,Reform UK,Irene Yoong-Henery,1477.0,,,,,,,,,,,,,,,,,,,,,
E14001097,Birmingham Northfield,51.0,74048,-8.7,36964,5389,Labour,Laurence Turner,14929,Conservative,Gary Sambrook,9540,Reform UK,Stephen Peters,7895,Green,Rob Grant,2809,Liberal Democrat,Jerry Evans,1791,Independent,Altaf Hussain,310.0,Common Good ,Dick Rodgers,215.0,Independent,Dean Gwilliam,163.0,,,,,,,,,,,,,,,
E14001098,Birmingham Perry Barr,49.0,76350,-14.3,35212,507,Independent,Ayoub Khan,13303,Labour,Khalid Mahmood,12796,Conservative,Garry Hickton,4227,Reform UK,Akshay Khuttan,2446,Green,Kefentse Dennis,2440,Liberal Democrat,Sabah Hamed,1302.0,Independent,Niko Omilana,509.0,Socialist Labour Party,Shangara Singh,453.0,,,,,,,,,,,,,,,
E14001099,Birmingham Selly Oak,51.0,75678,-12.6,36099,11537,Labour,Al Carns,17371,Conservative,Simon Phipps,5834,Reform UK,Erin Crawford,5732,Green,Jane Baston,4320,Independent,Kamel Hawwash,2842,Liberal Democrat,David Radcliffe,2324.0,,,,,,,,,,,,,,,,,,,,,
E14001100,Birmingham Yardley,49.0,73203,-8.9,34186,693,Labour,Jess Phillips,11275,Workers Party of Britain,Jody McIntyre,10582,Reform UK,Nora Kamberi,5061,Conservative,Yvonne Clements,3634,Liberal Democrat,Roger Harmer,3634,Green,Roxanne Green,1958.0,,,,,,,,,,,,,,,,,,,,,
E14001101,Bishop Auckland,57.0,70745,-12.8,40096,6672,Labour,Sam Rushworth,17036,Conservative,Jane MacBean,10364,Reform UK,Rhys Burriss,9466,Green,Sarah Hannan,1857,Liberal Democrat,Helen Cross,1373,Transform Party,Rachel Maughan,331.0,,,,,,,,,,,,,,,,,,,,,
E14001102,Blackburn,53.0,73259,-8.7,36327,132,Independent,Adnan Hussain,10518,Labour,Kate Hollern,10386,Workers Party of Britain,Craig Murray,7105,Reform UK,Tommy Temperley,4844,Conservative,Jamie McGowan,3474,Green,Denise Morgan,1416.0,Liberal Democrat,Adam Waller-Slack,689.0,Independent,Tiger Patel,369.0,Independent,Natasha Shah,86.0,,,,,,,,,,,,
E14001103,Blackley and Middleton South,44.0,72097,-9.1,31340,10250,Labour,Graham Stringer,16864,Reform UK,Alison Devine,6614,Green,Dylan Lewis-Creser,3197,Conservative,Iftikhar Ahmed,3073,Liberal Democrat,Iain Donaldson,1592,,,,,,,,,,,,,,,,,,,,,,,,
E14001104,Blackpool North and Fleetwood,57.0,73339,-9.4,41341,4647,Labour,Lorraine Beavers,16744,Conservative,Paul Maynard,12097,Reform UK,Dan Barker,9913,Liberal Democrat,Bill Greene,1318,Green,Tina Rothery,1269,Monster Raving Loony Party,James Rust,174.0,Independent,Gita Gordon,148.0,Social Democratic Party,Jan Cresswell,147.0,,,,,,,,,,,,,,,
E14001105,Blackpool South,45.0,77459,-10.4,34736,6848,Labour,Chris Webb,16916,Reform UK,Mark Butcher,10068,Conservative,Zak Khan,5504,Green,Ben Thomas,1207,Liberal Democrat,Andy Cregan,1041,Independent,Stephen Black,261.0,Alliance for Democracy and Freedom,Kim Knight,183.0,,,,,,,,,,,,,,,,,,
W07000084,Blaenau Gwent and Rhymney,43.0,70153,-16.5,27775,12183,Labour,Nick Smith,16027,Plaid Cymru,Niamh Salkeld,3844,Conservative,Hannah Jarvis,3776,Independent,Mike Whatley,2409,Green,Anne Baker,1719,Liberal Democrat,Jackie Charlton,1268.0,Workers Party of Britain,Yas Iqbal,570.0,Communist Party of Britain,Robert Griffiths,309.0,,,,,,,,,,,,,,,
E14001106,Blaydon and Consett,60.0,70487,-7.0,42081,11153,Labour,Liz Twist,21160,Reform UK,David Ayre,10007,Conservative,Angela Sterling,6052,Green,Richard Simpson,2589,Liberal Democrat,Vicky Anderson,2273,Social Democratic Party,Paul Topping,135.0,,,,,,,,,,,,,,,,,,,,,
E14001107,Blyth and Ashington,53.0,76263,-4.0,40401,9173,Labour,Ian Lavery,20030,Reform UK,Mark Peart,10857,Conservative,Maureen Levy,6121,Green,Steve Leyland,1960,Liberal Democrat,Stephen Psallidas,1433,,,,,,,,,,,,,,,,,,,,,,,,
E14001108,Bognor Regis and Littlehampton,62.0,77565,-6.5,47119,1765,Conservative,Alison Griffiths,15678,Labour,Clare Walsh,13913,Reform UK,Sandra Daniells,10262,Liberal Democrat,Henry Jones,5081,Green,Carol Birch,2185,Heritage Party,David Kurten,708.0,,,,,,,,,,,,,,,,,,,,,
E14001109,Bolsover,55.0,77334,-6.3,42434,6323,Labour,Natalie Fleet,17197,Conservative,Mark Fletcher,10874,Reform UK,Robert Reaney,9131,Green,David Kesteven,3754,Liberal Democrat,David Hancock,1478,,,,,,,,,,,,,,,,,,,,,,,,
E14001110,Bolton North East,54.0,80011,-10.5,41297,6653,Labour,Kirith Entwistle,16166,Conservative,Adele Warren,9513,Reform UK,Trevor Jones,9428,Green,Hanif Alli,4683,Liberal Democrat,Rebecca Forrest,1507,Workers Party of Britain,Syeda Kazmi,1463.0,Independent,Kevin Allsop,345.0,Independent,John Partington,254.0,,,,,,,,,,,,,,,
E14001111,Bolton South and Walkden,46.0,79622,-11.7,35113,6743,Labour,Yasmin Qureshi,15093,Reform UK,Julie Pattison,8350,Workers Party of Britain,Jack Khan,4673,Conservative,Mohammed Afzal,4170,Green,Philip Kochitty,2827,Liberal Democrat,Gemma-Jane Bowker,1384.0,Independent,Don Prof Reis Abraham Halliwell Prf,433.0,,,,,,,,,,,,,,,,,,
E14001112,Bolton West,60.0,74933,-9.6,44396,4945,Labour,Phil Brickell,17363,Conservative,Chris Green,12418,Reform UK,Dylan Evans,8517,Green,Vicki Attenborough,4132,Liberal Democrat,Donald McIntosh,1966,English Democrats,Patrick McGrath,202.0,,,,,,,,,,,,,,,,,,,,,
E14001113,Bootle,53.0,73037,-12.2,38354,21983,Labour,Peter Dowd,26729,Reform UK,Darren Burns,4746,Green,Neil Doolin,3904,Conservative,Rowena Bass,1674,Liberal Democrat,John Gibson,1301,Workers Party of Britain,Ian Smith,526.0,,,,,,,,,,,,,,,,,,,,,
E14001114,Boston and Skegness,53.0,75811,-6.0,39540,2010,Reform UK,Richard Tice,15520,Conservative,Matt Warman,13510,Labour,Alex Fawbert,7629,Green,Chris Moore,1506,Liberal Democrat,Richard Lloyd,1375,English Democrats,David Dickason,518.0,Blue Revolution,Mike Gilbert,397.0,,,,,,,,,,,,,,,,,,
E14001115,Bournemouth East,62.0,72354,-5.3,43293,5479,Labour,Tom Hayes,18316,Conservative,Tobias Ellwood,12837,Reform UK,Martin Houlden,6268,Liberal Democrat,Jon Nicholas,3082,Green,Joe Salmon,2790,Independent,Kieron Wilson,1529.0,Social Democratic Party,Miles Penn,88.0,,,,,,,,,,,,,,,,,,
E14001116,Bournemouth West,56.0,70259,-7.4,39078,3224,Labour,Jessica Toale,14365,Conservative,Conor Burns,11141,Reform UK,Ben Aston,6647,Liberal Democrat,Jeff Hanna,4311,Green,Darren Jones,2614,Christian Peoples Alliance,Julie Vivienne,201.0,Social Democratic Party,David Warden,139.0,,,,,,,,,,,,,,,,,,
E14001117,Bracknell,61.0,71656,-5.5,43161,784,Labour,Peter Swallow,14783,Conservative,James Sunderland,13999,Reform UK,Malcolm Tullett,7445,Liberal Democrat,Katie Mansfield,4768,Green,Emily Torode,2166,Independent,Olivio Barreto,480.0,Heritage Party,Jason Reardon,196.0,,,,,,,,,,,,,,,,,,
E14001118,Bradford East,50.0,75167,-10.1,32980,6189,Labour,Imran Hussain,14098,Independent,Talat Sajawal,7909,Reform UK,Jacob Anstey,4952,Conservative,Aubrey Holt,3450,Green,Celia Hickson,2571,Liberal Democrat,Robert O'Carroll,1910.0,Independent,Mohammed Rahman,817.0,The Yorkshire Party,Lara Barras,761.0,Independent,Amer Rehman,683.0,Social Democratic Party,Richard Riley,65.0,,,,,,,,,
E14001119,Bradford South,47.0,71002,-11.2,30838,4392,Labour,Judith Cummins,11833,Reform UK,Ian Eglin,7441,Conservative,Zaf Shah,4853,Green,Matt Edwards,3366,Independent,Rehiana Ali,3345,Liberal Democrat,Anthony Smith,954.0,Workers Party of Britain,Harry Boota,513.0,The Yorkshire Party,Jonathan Barras,489.0,English Democrats,Therese Hirst,248.0,,,,,,,,,,,,
E14001120,Bradford West,48.0,77897,-14.5,33033,707,Labour,Naz Shah,11724,Independent,Muhammed Islam,11017,Green,Khalid Mahmood,3690,Independent,Akeel Hussain,3547,Conservative,Nigel Moxon,3055,Reform UK,Jamie Hinton-Wardle,2958.0,Liberal Democrat,Imad Ahmed,756.0,Independent,Umar Ghafoor,334.0,,,,,,,,,,,,,,,
